vendor,url
universitypressscholarship,hongkong.universitypressscholarship.com
scholastic,bookflix.digital.scholastic.com
scholastic,scienceflix.digital.scholastic.com
artifexpress,www.artifexpress.com
universitypressscholarship,britishacademy.universitypressscholarship.com
morningstar,cef.morningstar.com
proquest,statistical.proquest.com
proquest,sso.proquest.com
simplyanalytics,app.simplyanalytics.com
japantimes,ipm-archives.japantimes.co.jp
handle,hdl.handle.net
europaworld,www.europaworld.com
worldwhoswho,www.worldwhoswho.com
chicagomanualofstyle,login.chicagomanualofstyle.org
gale,support.gale.com
sciencedirect,www.sciencedirect.com
oup,global.oup.com
eric,eric.ed.gov
cambridge,static.cambridge.org
newsbank,ihw02.newsbank.com
learningexpress,www.learningexpresslibrary3.com
proquest,gateway.proquest.com
newsbank,ihw11.newsbank.com
virginia,rotunda.upress.virginia.edu
chronicle,www.chronicle.com
newsbank,ihw04.newsbank.com
newsbank,ihw03.newsbank.com
valueline,www.valueline.com
morningstar,doc.morningstar.com
pnas,www.pnas.org
umich,quod.lib.umich.edu
newsbank,ihw08.newsbank.com
newsbank,ihw09.newsbank.com
morningstar,portfolios.morningstar.com
gale,www.gale.com
ebsco,extsvc.ebscohost.com
muse,about-dev.muse.jhu.edu
arkyves,www.arkyves.org
proquest,redirect.proquest.com
wsj,vir.wsj.net
imf,data.imf.org
universitypressscholarship,cairo.universitypressscholarship.com
abc-clio,usgeography.abc-clio.com
worldcat,www.worldcat.org
scholastic,da-credmanager.digital.scholastic.com
newsbank,ihw01.newsbank.com
careercruising,www.careercruising.com
virginia,www.upress.virginia.edu
fold3,www.fold3.com
newsbank,ihw07.newsbank.com
epnet,imagesrvr.epnet.com
jamanetwork,jamanetwork.com
google,accounts.google.com
amazonaws,s3.amazonaws.com
universitypressscholarship,m.chicago.universitypressscholarship.com
enlightenment,www.e-enlightenment.com
ebsco,eds.a.ebscohost.com
doi,dx.doi.org
gale,bi.galegroup.com
umich,search.lib.umich.edu
proquest,public.ebookcentral.proquest.com
ibisworld,www.ibisworld.com
jstor,about.jstor.org
newsbank,ihw06.newsbank.com
heinonline,home.heinonline.org
sciencemag,science.sciencemag.org
ebsco,www.ebscohost.com
worldbookonline,arabic.worldbookonline.com
proquest,proquest.umi.com
nature,www.nature.com
gale,invreports.gale.com
universitypressscholarship,hawaii.universitypressscholarship.com
careercruising,public.careercruising.com
google,www.googletagservices.com
brill,primarysources.brillonline.com
newsbank,ihw05.newsbank.com
brill,bibliographies.brillonline.com
fold3,img.fold3.com
igentaconnect,www.ingentaconnect.com
artstor,www.artstor.org
valueline,investors.valueline.com
morningstar,performance.morningstar.com
brill,dictionaries.brillonline.com
sagepub,us.sagepub.com
oup,academic.oup.com
google,id.google.com
amazonaws,s3-ap-northeast-1.amazonaws.com
arkyves,iiif.arkyves.org
gikan,nypl2.vip.qikan.com
ebsco,help.ebsco.com
serialssolutions,wu9fb9wh4a.scholar.serialssolutions.com
scholastic,go.scholastic.com
oup,languages.oup.com
google,play.google.com
ebsco,support.ebscohost.com
paratext,admin.paratext.com
nejm,www.nejm.org
sagepub,methods.sagepub.com
oup,oxfordindex.oup.com
valueline,www3.valueline.com
ebsco,absite.ebscohost.com
worldoflearning,www.worldoflearning.com
gale,find.galegroup.com
ebsco,eds.b.ebscohost.com
barrons,asset.barrons.com
credoreference,corp.credoreference.com
universitypressscholarship,m.california.universitypressscholarship.com
morningstar,video.morningstar.com
proquest,parlipapers.proquest.com
universitypressscholarship,m.florida.universitypressscholarship.com
heritagequestonline,www.heritagequestonline.com
brill,booksandjournals.brillonline.com
jstor,links.jstor.org
universitypressscholarship,m.yale.universitypressscholarship.com
chadwyck,iibp.chadwyck.com
sagepub,widgets.sagepub.com
scholastic,ereader-static.scholastic.com
morningstar,awrd.morningstar.com
wsj,www.wsj.com
cambridge,authenticate.cambridge.org
wsj,images.wsj.net
jamanetwork,cdn.jamanetwork.com
morningstar,mschart.morningstar.com
doi,doi.org
scholastic,sdm-fflix.digital.scholastic.com
proquest,tls.search.proquest.com
proquest,literature.proquest.com
ebsco,video.ebscohost.com
grolier,bkflix.grolier.com
nybooks,www.nybooks.com
gale,gdc.gale.com
worldcat,worldcat.org
cambridge,shibboleth.cambridge.org
amazonaws,p165-05-degruyter.s3.amazonaws.com
google,news.google.com
newspapers,bklyn.newspapers.com
sagepub,knowledge.sagepub.com
universitypressscholarship,m.minnesota.universitypressscholarship.com
cambridge,ebooks.cambridge.org
dowjones,www.dowjones.com
universitypressscholarship,m.fordham.universitypressscholarship.com
stanford.universitypress,m.stanford.universitypressscholarship.com
cambridge,dtd.cambridge.org
wsj,asset.wsj.net
chadwyck,c19index.chadwyck.com
abc-clio,educatorsupport.abc-clio.com
gale,ic.galegroup.com
oclc,cdm15799.contentdm.oclc.org
universitypressscholarship,m.liverpool.universitypressscholarship.com
eric,files.eric.ed.gov
google,patentimages.storage.googleapis.com
brainpop,cdn.brainpop.com
un,documents.un.org
worldcat,auctr.on.worldcat.org
gale,gdc.galegroup.com
scholastic,sdm-credmgr.digital.scholastic.com
scholastic,sdm-bkflix.digital.scholastic.com
jstor,daily.jstor.org
google,chart.googleapis.com
virginia,virgo.lib.virginia.edu
oclc,acpl-cms.wise.oclc.org
ancestrylibrary,ipns.ancestrylibrary.com
gale,galenet.gale.com
brainpop,www.brainpop.com
revealdigital,voices.revealdigital.com
proquest,ebookcentral.proquest.com
google,encrypted.google.com
un,www.un.org
gale,galeapps.galegroup.com
abc-clio,www.abc-clio.com
brainpop,cdn-jr.brainpop.com
google,ogs.google.com
plunkettresearchonline,www.plunkettresearchonline.com
proquest,fold3library.proquest.com
readspeaker,f1-eu.readspeaker.com
sciencemag,www.sciencemag.org
lynda,www.lynda.com
proquest,media2.proquest.com
wsj,m.wsj.net
heinonline,www.heinonline.org
nature,verify.nature.com
wsj,ereader.wsj.net
proquest,ssolanding-search.proquest.com
newyorker,www.newyorker.com
dowjones,signin.dowjones.com
oxford,m.oxfordscholarship.com
readspeaker,media-na.readspeaker.com
oup,subscriberservices.sams.oup.com
worldcat,delcat.on.worldcat.org
sagepub,jrm.sagepub.com
universitypressscholarship,m.mitpress.universitypressscholarship.com
oecd-library,www.oecd-ilibrary.org
oclc,libmma.contentdm.oclc.org
daredictionary,www.daredictionary.com
brill,dh.brill.com
universitypressscholarship,m.universitypressscholarship.com
alexanderstreet,alexanderstreet.com
chadwyck,archives.chadwyck.com
brainpop,jr.brainpop.com
credoreference,toolbox.credoreference.com
cambridge,adserver.prod-a.aop.cambridge.org
jstor,support.jstor.org
valueline,jump.valueline.com
morningstar,quotes.morningstar.com
serialssolutions,ns5hq7zn5a.search.serialssolutions.com
oclc,cdm16797.contentdm.oclc.org
universitypressscholarship,m.manchester.universitypressscholarship.com
ebsco,openurl.ebscohost.com
abc-clio,ebooks.abc-clio.com
un,journal.un.org
wsj,s.wsj.net
oclc,cdm17142.contentdm.oclc.org
brill,buyaccess.brillonline.com
valueline,www2.valueline.com
universitypressscholarship,m.columbia.universitypressscholarship.com
virginia,ils.lib.virginia.edu
oclc,policies.oclc.org
serialssolutions,tm9qt7lg9g.search.serialssolutions.com
hebrew-bibliography,www.hebrew-bibliography.com
universitypressscholarship,m.nyu.universitypressscholarship.com
google,clients1.google.com
serialssolutions,vh7qx3xe2p.search.serialssolutions.com
pressdisplay,library.pressdisplay.com
wsj,mwstream.wsj.net
emis,emis-aws-static.emis.com
sagepub,uk.sagepub.com
oxford,oxfordscholarlyeditions.com
brill,data.brill.com
imf,www.elibrary-areaer.imf.org
amazonaws,libapps.s3.amazonaws.com
zephyr.bvdinfo,zephyr.bvdinfo.com
universitypressscholarship,m.edinburgh.universitypressscholarship.com
google,www.googleapis.com
worldbookonline,classroom.worldbookonline.com
scholastic,sn2.scholastic.com
dowjones,images.dowjones.com
lexisnexus,www.lexisnexis.com
japantimes,www.japantimes.co.jp
fold3,go.fold3.com
gale,titlelist.galegroup.com
artstor,artstor.org
chadwyck,bap.chadwyck.com
morningstar,srt.morningstar.com
oxford,classics.oxfordre.com
brill,prize-papers-atlas-online.brillonline.com
sagepub,studysites.uk.sagepub.com
brill,chinesereferenceshelf.brillonline.com
morningstar,shareholders.morningstar.com
scholastic,freedomflix.digital.scholastic.com
grolier,golla.grolier.com
gale,www.galenet.com
proquest,li.proquest.com
worldreligiondatabase,www.worldreligiondatabase.org
readspeaker,vttts-na.readspeaker.com
wsj,video-api.wsj.com
oclc,cdm15847.contentdm.oclc.org
sciencemag,backissues.sciencemag.org
oclc,cdm15046.contentdm.oclc.org
universitypressscholarship,m.northcarolina.universitypressscholarship.com
mergetonline,www.mergentonline.com
lynda,cdn.lynda.com
amdigital,www.login.amdigital.co.uk
mergent,www.mergentintellect.com
worldcat,uofl.on.worldcat.org
universitypressscholarship,m.mississippi.universitypressscholarship.com
mergent,www.mergentkbr.com
loebclassics,www.loebclassics.com
ebsco,gss.ebscohost.com
serialssolutions,rochester.summon.serialssolutions.com
ebsco,journals.ebsco.com
harvard,www.hup.harvard.edu
worldcat,cedarcrestcollegecressmanlibrary.on.worldcat.org
factiva,global.factiva.com
veryshortintroductions,m.veryshortintroductions.com
paratext,public.paratext.com
mergent,www.mergentarchives.com
scholastic,www.scholastic.com
sciencedirect,acw.sciencedirect.com
universitypressscholarship,m.hawaii.universitypressscholarship.com
serialssolutions,static-cdn.summon.serialssolutions.com
chadwyck,pao.chadwyck.com
readspeaker,ivotts-na.readspeaker.com
portico,access.portico.org
brainpop,cdn-esl.brainpop.com
dowjones,sso.accounts.dowjones.com
grolier,tfx.grolier.com
eastview,bib.eastview.com
oclc,cdm16694.contentdm.oclc.org
digitaltheatreplus,education.digitaltheatreplus.com
universitypressscholarship,m.cairo.universitypressscholarship.com
ebsco,ee.ebsco.com
worldcat,slc.on.worldcat.org
wsj,accounts.wsj.com
eastview,www.eastview.com
umich,www.lib.umich.edu
enlightenment,e-enlightenment.com
emis,auth.emis.com
virginia,analytics.lib.virginia.edu
jstor,guides.jstor.org
un,documents-dds-ny.un.org
